huid,Block2020,blockid,bgid,tractid,FIPScounty,numprec,ownershp,race,hispan,family,vacancy,gqtype,incomegroup,hhinc,randincome,poverty,BLOCKID20_str,huicounter1,huicounter2,huicounter3,ownershp1,ownershp2,ownershp3,strctid,strctid_flagsetrm,strctid_Block2020_flagsetrm,addrptid,fd_id_bid,huestimate,huicounter_addpt,placeNAME20,x,y,occtype,geometry,index_right,Site_ID,Site_Name,benz_ppb_p100_ppb,Household Income Group,Race Ethnicity
B482450051001024H019,482450051001024,482450051001024,482450051001,48245005100,48245.0,0.0,,,,,2.0,0.0,0.0,0.0,,,B482450051001024,1.0,2.0,3.0,0.0,0.0,0.0,ST00nsi-482230613-76X8V363+HW7-4-5-5-4,2.0,2.0,ST00nsi-482230613-76X8V363+HW7-4-5-5-4AP000000,nsi-482230613-76X8V363+HW7-4-5-5-4,1.0,1.0,Port Arthur,-93.945193,29.861407,RES1-1SNB,POINT (-93.945193 29.861407),0.0,1.0,West Port Arthur - Foley Watershed,0.33738545,,
B482450051001024H007,482450051001024,482450051001024,482450051001,48245005100,48245.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,10.0,3.0,55657.0,0.0,B482450051001024,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-482230614-76X8V363+HMG-3-3-3-3,1.0,1.0,ST00nsi-482230614-76X8V363+HMG-3-3-3-3AP000000,nsi-482230614-76X8V363+HMG-3-3-3-3,1.0,1.0,Port Arthur,-93.945793,29.861435,RES1-1SNB,POINT (-93.945793 29.861435),0.0,1.0,West Port Arthur - Foley Watershed,0.33738545,"3 $25,000 to $74,999","2 Black alone, Not Hispanic"
,999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,nsi-482230615-76X8V363+GJX-3-3-2-2,,,,,,RES1-1SNB,POINT (-93.94588 29.861369),0.0,1.0,West Port Arthur - Foley Watershed,0.33738545,,
B482450051001024H004,482450051001024,482450051001024,482450051001,48245005100,48245.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,3132.0,1.0,B482450051001024,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-482230616-76X8V363+GJ7-3-3-3-3,1.0,1.0,ST00nsi-482230616-76X8V363+GJ7-3-3-3-3AP000000,nsi-482230616-76X8V363+GJ7-3-3-3-3,1.0,1.0,Port Arthur,-93.945949,29.861284,RES1-1SNB,POINT (-93.945949 29.861284),0.0,1.0,West Port Arthur - Foley Watershed,0.33738545,"1 Less than $15,000","2 Black alone, Not Hispanic"
B482450051001024H008,482450051001024,482450051001024,482450051001,48245005100,48245.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,6.0,3.0,32956.0,0.0,B482450051001024,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-482230617-76X8V363+CG7-1-2-2-2,1.0,1.0,ST00nsi-482230617-76X8V363+CG7-1-2-2-2AP000000,nsi-482230617-76X8V363+CG7-1-2-2-2,1.0,1.0,Port Arthur,-93.946203,29.861026,RES1-1SNB,POINT (-93.946203 29.861026),0.0,1.0,West Port Arthur - Foley Watershed,0.33738545,"3 $25,000 to $74,999","2 Black alone, Not Hispanic"
B482450051001024H005,482450051001024,482450051001024,482450051001,48245005100,48245.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,9075.0,1.0,B482450051001024,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-482230618-76X8V363+9FQ-2-3-3-3,1.0,1.0,ST00nsi-482230618-76X8V363+9FQ-2-3-3-3AP000000,nsi-482230618-76X8V363+9FQ-2-3-3-3,1.0,1.0,Port Arthur,-93.946263,29.86095,RES1-1SNB,POINT (-93.946263 29.86095),0.0,1.0,West Port Arthur - Foley Watershed,0.33738545,"1 Less than $15,000","2 Black alone, Not Hispanic"
B482450051001024H006,482450051001024,482450051001024,482450051001,48245005100,48245.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,6279.0,1.0,B482450051001024,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-482230619-76X8V363+9RC-3-3-2-2,1.0,1.0,ST00nsi-482230619-76X8V363+9RC-3-3-2-2AP000000,nsi-482230619-76X8V363+9RC-3-3-2-2,1.0,1.0,Port Arthur,-93.945482,29.860942,RES1-1SNB,POINT (-93.945482 29.860942),0.0,1.0,West Port Arthur - Foley Watershed,0.33738545,"1 Less than $15,000","2 Black alone, Not Hispanic"
B482450051001024H009,482450051001024,482450051001024,482450051001,48245005100,48245.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1482.0,1.0,B482450051001024,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-482230620-76X8V363+9Q3-2-3-3-2,1.0,1.0,ST00nsi-482230620-76X8V363+9Q3-2-3-3-2AP000000,nsi-482230620-76X8V363+9Q3-2-3-3-2,1.0,1.0,Port Arthur,-93.945567,29.860878,RES1-1SNB,POINT (-93.945567 29.860878),0.0,1.0,West Port Arthur - Foley Watershed,0.33738545,"1 Less than $15,000","2 Black alone, Not Hispanic"
B482450051001024H020,482450051001024,482450051001024,482450051001,48245005100,48245.0,0.0,,,,,7.0,0.0,0.0,0.0,,,B482450051001024,1.0,2.0,3.0,0.0,0.0,0.0,ST00nsi-482230621-76X8V363+8FR-2-3-3-2,2.0,2.0,ST00nsi-482230621-76X8V363+8FR-2-3-3-2AP000000,nsi-482230621-76X8V363+8FR-2-3-3-2,1.0,1.0,Port Arthur,-93.946357,29.860859,RES1-1SNB,POINT (-93.946357 29.860859),0.0,1.0,West Port Arthur - Foley Watershed,0.33738545,,
B482450051001024H017,482450051001024,482450051001024,482450051001,48245005100,48245.0,4.0,1.0,7.0,0.0,1.0,0.0,0.0,1.0,1.0,8852.0,1.0,B482450051001024,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-482230622-76X8V363+8PG-3-4-3-4,1.0,1.0,ST00nsi-482230622-76X8V363+8PG-3-4-3-4AP000000,nsi-482230622-76X8V363+8PG-3-4-3-4,1.0,1.0,Port Arthur,-93.945683,29.86081,RES1-1SNB,POINT (-93.945683 29.86081),0.0,1.0,West Port Arthur - Foley Watershed,0.33738545,"1 Less than $15,000","5 Other Race, Not Hispanic"
B482450051001024H016,482450051001024,482450051001024,482450051001,48245005100,48245.0,5.0,1.0,6.0,1.0,1.0,0.0,0.0,15.0,5.0,165401.0,0.0,B482450051001024,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-482230623-76X8V363+8C8-2-2-3-2,1.0,1.0,ST00nsi-482230623-76X8V363+8C8-2-2-3-2AP000000,nsi-482230623-76X8V363+8C8-2-2-3-2,1.0,1.0,Port Arthur,-93.946423,29.860775,RES1-1SNB,POINT (-93.946423 29.860775),0.0,1.0,West Port Arthur - Foley Watershed,0.33738545,"5 $100,000 or more","6 Any Race, Hispanic"
B482450051001024H013,482450051001024,482450051001024,482450051001,48245005100,48245.0,5.0,1.0,2.0,0.0,1.0,0.0,0.0,10.0,3.0,59305.0,0.0,B482450051001024,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-482230624-76X8V363+79H-3-3-2-2,1.0,1.0,ST00nsi-482230624-76X8V363+79H-3-3-2-2AP000000,nsi-482230624-76X8V363+79H-3-3-2-2,1.0,1.0,Port Arthur,-93.946504,29.860695,RES1-1SNB,POINT (-93.946504 29.860695),0.0,1.0,West Port Arthur - Foley Watershed,0.33738545,"3 $25,000 to $74,999","2 Black alone, Not Hispanic"
B482450051001024H010,482450051001024,482450051001024,482450051001,48245005100,48245.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,11.0,3.0,70684.0,0.0,B482450051001024,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-482230625-76X8V363+6MP-2-2-2-2,1.0,1.0,ST00nsi-482230625-76X8V363+6MP-2-2-2-2AP000000,nsi-482230625-76X8V363+6MP-2-2-2-2,1.0,1.0,Port Arthur,-93.945804,29.860592,RES1-1SNB,POINT (-93.945804 29.860592),0.0,1.0,West Port Arthur - Foley Watershed,0.33738545,"3 $25,000 to $74,999","2 Black alone, Not Hispanic"
B482450051001024H002,482450051001024,482450051001024,482450051001,48245005100,48245.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,8.0,3.0,43472.0,0.0,B482450051001024,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-482230626-76X8V363+58M-4-4-5-3,1.0,1.0,ST00nsi-482230626-76X8V363+58M-4-4-5-3AP000000,nsi-482230626-76X8V363+58M-4-4-5-3,1.0,1.0,Port Arthur,-93.946696,29.86045,RES1-1SNB,POINT (-93.946696 29.86045),0.0,1.0,West Port Arthur - Foley Watershed,0.33738545,"3 $25,000 to $74,999","2 Black alone, Not Hispanic"
B482450051001024H015,482450051001024,482450051001024,482450051001,48245005100,48245.0,5.0,1.0,6.0,1.0,1.0,0.0,0.0,15.0,5.0,168722.0,0.0,B482450051001024,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-482230627-76X8V363+6G3-2-2-2-2,1.0,1.0,ST00nsi-482230627-76X8V363+6G3-2-2-2-2AP000000,nsi-482230627-76X8V363+6G3-2-2-2-2,1.0,1.0,Port Arthur,-93.946214,29.860509,RES1-1SNB,POINT (-93.946214 29.860509),0.0,1.0,West Port Arthur - Foley Watershed,0.33738545,"5 $100,000 or more","6 Any Race, Hispanic"
B482450051001024H011,482450051001024,482450051001024,482450051001,48245005100,48245.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,15.0,5.0,181441.0,0.0,B482450051001024,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-482230628-76X8V363+4HX-2-2-3-2,1.0,1.0,ST00nsi-482230628-76X8V363+4HX-2-2-3-2AP000000,nsi-482230628-76X8V363+4HX-2-2-3-2,1.0,1.0,Port Arthur,-93.946023,29.860356,RES1-1SNB,POINT (-93.946023 29.860356),0.0,1.0,West Port Arthur - Foley Watershed,0.33738545,"5 $100,000 or more","2 Black alone, Not Hispanic"
B482450051001024H012,482450051001024,482450051001024,482450051001,48245005100,48245.0,4.0,1.0,2.0,0.0,1.0,0.0,0.0,8.0,3.0,42874.0,0.0,B482450051001024,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-482230629-76X8V363+4G5-2-3-3-2,1.0,1.0,ST00nsi-482230629-76X8V363+4G5-2-3-3-2AP000000,nsi-482230629-76X8V363+4G5-2-3-3-2,1.0,1.0,Port Arthur,-93.946131,29.860254,RES1-1SWB,POINT (-93.946131 29.860254),0.0,1.0,West Port Arthur - Foley Watershed,0.33738545,"3 $25,000 to $74,999","2 Black alone, Not Hispanic"
B482450051001024H018,482450051001024,482450051001024,482450051001,48245005100,48245.0,0.0,,,,,2.0,0.0,0.0,0.0,,,B482450051001024,1.0,2.0,3.0,0.0,0.0,0.0,ST00nsi-482230630-76X8V363+2FV-4-4-4-4,2.0,2.0,ST00nsi-482230630-76X8V363+2FV-4-4-4-4AP000000,nsi-482230630-76X8V363+2FV-4-4-4-4,0.0,1.0,Port Arthur,-93.946335,29.860117,RES3C,POINT (-93.946335 29.860117),0.0,1.0,West Port Arthur - Foley Watershed,0.33738545,,
B482450051001024H003,482450051001024,482450051001024,482450051001,48245005100,48245.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,10.0,3.0,52512.0,0.0,B482450051001024,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-482230631-76X8V363+6J8-3-3-3-2,1.0,1.0,ST00nsi-482230631-76X8V363+6J8-3-3-3-2AP000000,nsi-482230631-76X8V363+6J8-3-3-3-2,1.0,1.0,Port Arthur,-93.94591,29.86054,RES1-2SNB,POINT (-93.94591 29.86054),0.0,1.0,West Port Arthur - Foley Watershed,0.33738545,"3 $25,000 to $74,999","2 Black alone, Not Hispanic"
,999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,nsi-482230632-76X8V363+6J8-3-3-3-2,,,,,,COM8,POINT (-93.94591 29.86054),0.0,1.0,West Port Arthur - Foley Watershed,0.33738545,,
B482450051002051H003,482450051002051,482450051002051,482450051002,48245005100,48245.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,12265.0,1.0,B482450051002051,1.0,2.0,3.0,2.0,2.0,2.0,ST00nsi-482242957-76X8V372+RRX-3-3-3-2,1.0,1.0,ST00nsi-482242957-76X8V372+RRX-3-3-3-2AP000000,nsi-482242957-76X8V372+RRX-3-3-3-2,1.0,1.0,Port Arthur,-93.947878,29.864622,RES1-1SWB,POINT (-93.947878 29.864622),0.0,1.0,West Port Arthur - Foley Watershed,0.28823557,"1 Less than $15,000","2 Black alone, Not Hispanic"
B482450051002051H006,482450051002051,482450051002051,482450051002,48245005100,48245.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,3.0,26857.0,1.0,B482450051002051,1.0,2.0,3.0,2.0,2.0,2.0,ST00nsi-482244799-76X8V372+RVJ-4-4-4-3,1.0,1.0,ST00nsi-482244799-76X8V372+RVJ-4-4-4-3AP000000,nsi-482244799-76X8V372+RVJ-4-4-4-3,1.0,1.0,Port Arthur,-93.947844,29.864579,RES1-1SNB,POINT (-93.947844 29.864579),0.0,1.0,West Port Arthur - Foley Watershed,0.28823557,"3 $25,000 to $74,999","2 Black alone, Not Hispanic"
B482450051002051H001,482450051002051,482450051002051,482450051002,48245005100,48245.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,9544.0,1.0,B482450051002051,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-482245581-76X8V372+QWR-3-2-2-2,1.0,1.0,ST00nsi-482245581-76X8V372+QWR-3-2-2-2AP000000,nsi-482245581-76X8V372+QWR-3-2-2-2,1.0,1.0,Port Arthur,-93.947734,29.864498,RES1-1SNB,POINT (-93.947734 29.864498),0.0,1.0,West Port Arthur - Foley Watershed,0.28823557,"1 Less than $15,000","2 Black alone, Not Hispanic"
B482450051002051H002,482450051002051,482450051002051,482450051002,48245005100,48245.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,10.0,3.0,59181.0,0.0,B482450051002051,1.0,2.0,3.0,2.0,2.0,2.0,ST00nsi-482247372-76X8V372+QGC-4-4-4-3,1.0,1.0,ST00nsi-482247372-76X8V372+QGC-4-4-4-3AP000000,nsi-482247372-76X8V372+QGC-4-4-4-3,1.0,1.0,Port Arthur,-93.948724,29.864429,RES1-1SNB,POINT (-93.948724 29.864429),0.0,1.0,West Port Arthur - Foley Watershed,0.28823557,"3 $25,000 to $74,999","2 Black alone, Not Hispanic"
B482450051002051H005,482450051002051,482450051002051,482450051002,48245005100,48245.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,22778.0,1.0,B482450051002051,1.0,2.0,3.0,2.0,2.0,2.0,ST00nsi-482247373-76X8V372+MJ9-3-2-3-3,1.0,1.0,ST00nsi-482247373-76X8V372+MJ9-3-2-3-3AP000000,nsi-482247373-76X8V372+MJ9-3-2-3-3,1.0,1.0,Port Arthur,-93.948406,29.864169,RES1-1SNB,POINT (-93.948406 29.864169),0.0,1.0,West Port Arthur - Foley Watershed,0.33738545,"2 $15,000 to $24,999","2 Black alone, Not Hispanic"
B482450051002051H004,482450051002051,482450051002051,482450051002,48245005100,48245.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,3.0,2.0,16399.0,1.0,B482450051002051,1.0,2.0,3.0,2.0,2.0,2.0,ST00nsi-482247374-76X8V372+JP6-3-4-3-4,1.0,1.0,ST00nsi-482247374-76X8V372+JP6-3-4-3-4AP000000,nsi-482247374-76X8V372+JP6-3-4-3-4,1.0,1.0,Port Arthur,-93.948227,29.864036,RES1-1SNB,POINT (-93.948227 29.864036),0.0,1.0,West Port Arthur - Foley Watershed,0.33738545,"2 $15,000 to $24,999","2 Black alone, Not Hispanic"
B482450059001024H002,482450059001024,482450059001024,482450059001,48245005900,48245.0,0.0,,,,,1.0,0.0,0.0,0.0,,,B482450059001024,1.0,2.0,3.0,0.0,0.0,0.0,ST00nsi-482247375-76X8V3F2+MW6-3-3-3-3,2.0,2.0,ST00nsi-482247375-76X8V3F2+MW6-3-3-3-3AP000000,nsi-482247375-76X8V3F2+MW6-3-3-3-3,2.0,1.0,Port Arthur,-93.947727,29.874162,RES3A,POINT (-93.947727 29.874162),0.0,1.0,West Port Arthur - Foley Watershed,0.33826235,,
,999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,nsi-482247376-76X8V3F2+RPW-3-2-3-3,,,,,,RES1-1SNB,POINT (-93.948184 29.874609),0.0,1.0,West Port Arthur - Foley Watershed,0.33826235,,
,999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,nsi-482247377-76X8V3F2+RM9-3-3-3-2,,,,,,RES1-1SNB,POINT (-93.948256 29.874536),0.0,1.0,West Port Arthur - Foley Watershed,0.33826235,,
B482450059001024H001,482450059001024,482450059001024,482450059001,48245005900,48245.0,0.0,,,,,1.0,0.0,0.0,0.0,,,B482450059001024,1.0,2.0,3.0,0.0,0.0,0.0,ST00nsi-482247378-76X8V3F2+QM9-5-5-5-5,2.0,2.0,ST00nsi-482247378-76X8V3F2+QM9-5-5-5-5AP000000,nsi-482247378-76X8V3F2+QM9-5-5-5-5,1.0,1.0,Port Arthur,-93.948263,29.874415,RES1-1SNB,POINT (-93.948263 29.874415),0.0,1.0,West Port Arthur - Foley Watershed,0.33826235,,
B482450059001024H007,482450059001024,482450059001024,482450059001,48245005900,48245.0,0.0,,,,,1.0,0.0,0.0,0.0,,,B482450059001024,1.0,2.0,3.0,0.0,0.0,0.0,ST00nsi-482247379-76X8V3F2+JVP-3-3-4-4,2.0,2.0,ST00nsi-482247379-76X8V3F2+JVP-3-3-4-4AP000000,nsi-482247379-76X8V3F2+JVP-3-3-4-4,1.0,1.0,Port Arthur,-93.947809,29.874083,RES1-1SNB,POINT (-93.947809 29.874083),0.0,1.0,West Port Arthur - Foley Watershed,0.33826235,,
B482450059001024H005,482450059001024,482450059001024,482450059001,48245005900,48245.0,0.0,,,,,1.0,0.0,0.0,0.0,,,B482450059001024,1.0,2.0,3.0,0.0,0.0,0.0,ST00nsi-482247380-76X8V3F3+H32-3-3-2-3,2.0,2.0,ST00nsi-482247380-76X8V3F3+H32-3-3-2-3AP000000,nsi-482247380-76X8V3F3+H32-3-3-2-3,1.0,1.0,Port Arthur,-93.947354,29.873899,RES1-2SNB,POINT (-93.947354 29.873899),0.0,1.0,West Port Arthur - Foley Watershed,0.33826235,,
B482450059001024H003,482450059001024,482450059001024,482450059001,48245005900,48245.0,0.0,,,,,1.0,0.0,0.0,0.0,,,B482450059001024,1.0,2.0,3.0,0.0,0.0,0.0,ST00nsi-482247381-76X8V3F3+G4X-2-3-3-2,2.0,2.0,ST00nsi-482247381-76X8V3F3+G4X-2-3-3-2AP000000,nsi-482247381-76X8V3F3+G4X-2-3-3-2,1.0,1.0,Port Arthur,-93.94713,29.873853,RES1-1SNB,POINT (-93.94713 29.873853),0.0,1.0,West Port Arthur - Foley Watershed,0.33826235,,
,999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,nsi-482247382-76X8V3F3+G2P-3-3-3-3,,,,,,RES1-1SNB,POINT (-93.94743 29.87383),0.0,1.0,West Port Arthur - Foley Watershed,0.33826235,,
B482450051001021H006,482450051001021,482450051001021,482450051001,48245005100,48245.0,0.0,,,,,1.0,0.0,0.0,0.0,,,B482450051001021,1.0,2.0,3.0,0.0,0.0,0.0,ST00nsi-482247392-76X8V352+CMR-4-5-4-4,2.0,2.0,ST00nsi-482247392-76X8V352+CMR-4-5-4-4AP000000,nsi-482247392-76X8V352+CMR-4-5-4-4,1.0,1.0,Port Arthur,-93.948354,29.858613,RES1-1SWB,POINT (-93.948354 29.858613),0.0,1.0,West Port Arthur - Foley Watershed,0.33738545,,
