huid,Block2020,blockid,bgid,tractid,FIPScounty,numprec,ownershp,race,hispan,family,vacancy,gqtype,incomegroup,hhinc,randincome,poverty,BLOCKID20_str,huicounter1,huicounter2,huicounter3,ownershp1,ownershp2,ownershp3,strctid,strctid_flagsetrm,strctid_Block2020_flagsetrm,addrptid,fd_id_bid,huestimate,huicounter_addpt,placeNAME20,x,y,occtype,geometry,index_right,Site_ID,Site_Name,benz_ppb_p100_ppb,Race Ethnicity
B482450021003023H009,482450021003023,482450021003023,482450021003,48245002100,48245.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,11.0,3.0,60098.0,0.0,B482450021003023,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-481975776-86273V5M+R7R-2-1-1-2,1.0,1.0,ST00nsi-481975776-86273V5M+R7R-2-1-1-2AP000000,nsi-481975776-86273V5M+R7R-2-1-1-2,1.0,1.0,Beaumont,-94.116874,30.059621,RES1-1SNB,POINT (-94.116874 30.059621),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.260391,"2 Black alone, Not Hispanic"
B482450021003023H002,482450021003023,482450021003023,482450021003,48245002100,48245.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,3.0,30156.0,0.0,B482450021003023,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-481975777-86273V5M+R4W-1-3-2-2,1.0,1.0,ST00nsi-481975777-86273V5M+R4W-1-3-2-2AP000000,nsi-481975777-86273V5M+R4W-1-3-2-2,1.0,1.0,Beaumont,-94.117168,30.059601,RES1-1SNB,POINT (-94.117168 30.059601),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.260391,"2 Black alone, Not Hispanic"
B482450021003023H001,482450021003023,482450021003023,482450021003,48245002100,48245.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,9468.0,1.0,B482450021003023,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-481975778-86273V5M+PCR-5-5-5-5,1.0,1.0,ST00nsi-481975778-86273V5M+PCR-5-5-5-5AP000000,nsi-481975778-86273V5M+PCR-5-5-5-5,1.0,1.0,Beaumont,-94.116496,30.059367,RES5,POINT (-94.116496 30.059367),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.260391,"2 Black alone, Not Hispanic"
B482450021003023H004,482450021003023,482450021003023,482450021003,48245002100,48245.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,3.0,33112.0,0.0,B482450021003023,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-481975779-86273V5J+PXJ-2-2-2-2,1.0,1.0,ST00nsi-481975779-86273V5J+PXJ-2-2-2-2AP000000,nsi-481975779-86273V5J+PXJ-2-2-2-2,1.0,1.0,Beaumont,-94.117598,30.059329,RES1-1SNB,POINT (-94.117598 30.059329),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.260391,"2 Black alone, Not Hispanic"
,999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,nsi-481975780-86273V5M+PJG-3-6-2-5,,,,,,RES6,POINT (-94.115923 30.059313),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.260391,
B482450021003023H008,482450021003023,482450021003023,482450021003,48245002100,48245.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,4.0,2.0,21140.0,1.0,B482450021003023,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-481975781-86273V5J+JXR-3-1-3-1,1.0,1.0,ST00nsi-481975781-86273V5J+JXR-3-1-3-1AP000000,nsi-481975781-86273V5J+JXR-3-1-3-1,1.0,1.0,Beaumont,-94.117607,30.05911,RES1-1SNB,POINT (-94.117607 30.05911),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.260391,"2 Black alone, Not Hispanic"
,999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,nsi-481975782-86273V5M+J9Q-5-2-4-2,,,,,,COM8,POINT (-94.116512 30.059093),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.260391,
B482450021003023H005,482450021003023,482450021003023,482450021003,48245002100,48245.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,8834.0,1.0,B482450021003023,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-481975783-86273V5M+J47-1-1-2-2,1.0,1.0,ST00nsi-481975783-86273V5M+J47-1-1-2-2AP000000,nsi-481975783-86273V5M+J47-1-1-2-2,1.0,1.0,Beaumont,-94.117215,30.059028,RES1-1SNB,POINT (-94.117215 30.059028),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.260391,"2 Black alone, Not Hispanic"
,999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,nsi-481975784-86273V5M+CMP-2-2-3-1,,,,,,RES1-1SNB,POINT (-94.115781 30.058578),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.260391,
,999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,nsi-481975785-86273V5J+CXF-1-1-2-2,,,,,,RES1-2SNB,POINT (-94.117591 30.058553),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.260391,
,999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,nsi-481975786-86273V5M+8FQ-2-2-1-2,,,,,,RES1-2SNB,POINT (-94.116258 30.058349),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.260391,
,999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,nsi-481975787-86273V5M+8FQ-2-2-1-2,,,,,,COM3,POINT (-94.116258 30.058349),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.260391,
B482450021003023H006,482450021003023,482450021003023,482450021003,48245002100,48245.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,14.0,5.0,138191.0,0.0,B482450021003023,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-481975788-86273V5J+8XC-2-2-2-2,1.0,1.0,ST00nsi-481975788-86273V5J+8XC-2-2-2-2AP000000,nsi-481975788-86273V5J+8XC-2-2-2-2,1.0,1.0,Beaumont,-94.117602,30.058313,RES1-1SNB,POINT (-94.117602 30.058313),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.260391,"2 Black alone, Not Hispanic"
B482450021003023H010,482450021003023,482450021003023,482450021003,48245002100,48245.0,5.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,10079.0,1.0,B482450021003023,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-481975789-86273V5M+6CW-2-4-4-4,1.0,1.0,ST00nsi-481975789-86273V5M+6CW-2-4-4-4AP000000,nsi-481975789-86273V5M+6CW-2-4-4-4,1.0,1.0,Beaumont,-94.116409,30.058103,RES1-1SNB,POINT (-94.116409 30.058103),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.260391,"2 Black alone, Not Hispanic"
,999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,nsi-481975790-86273V5M+7G4-1-1-2-1,,,,,,COM4,POINT (-94.116166 30.058131),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.260391,
B482450021003023H003,482450021003023,482450021003023,482450021003,48245002100,48245.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,14.0,5.0,145453.0,0.0,B482450021003023,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-481975791-86273V5J+6XF-2-2-2-1,1.0,1.0,ST00nsi-481975791-86273V5J+6XF-2-2-2-1AP000000,nsi-481975791-86273V5J+6XF-2-2-2-1,1.0,1.0,Beaumont,-94.117564,30.05806,RES1-1SNB,POINT (-94.117564 30.05806),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.260391,"2 Black alone, Not Hispanic"
B482450021003023H007,482450021003023,482450021003023,482450021003,48245002100,48245.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,2.0,17119.0,1.0,B482450021003023,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-481975792-86273V5M+VF5-2-1-2-2,1.0,1.0,ST00nsi-481975792-86273V5M+VF5-2-1-2-2AP000000,nsi-481975792-86273V5M+VF5-2-1-2-2,1.0,1.0,Beaumont,-94.116279,30.059641,RES1-1SNB,POINT (-94.116279 30.059641),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.260391,"2 Black alone, Not Hispanic"
,999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,nsi-481994162-86272VWC+PRR-8-7-8-6,,,,,,REL1,POINT (-94.12797 30.046872),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.24832505,
,999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,nsi-481994164-86272VWC+PRR-8-7-8-6,,,,,,COM1,POINT (-94.12797 30.046872),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.24832505,
B482450022002038H005,482450022002038,482450022002038,482450022002,48245002200,48245.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,10.0,3.0,59885.0,0.0,B482450022002038,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-481994166-86272VXC+6PF-2-1-1-2,1.0,1.0,ST00nsi-481994166-86272VXC+6PF-2-1-1-2AP000000,nsi-481994166-86272VXC+6PF-2-1-1-2,2.0,1.0,Beaumont,-94.128214,30.048072,RES1-1SNB,POINT (-94.128214 30.048072),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.24832505,"2 Black alone, Not Hispanic"
B482450022002038H006,482450022002038,482450022002038,482450022002,48245002200,48245.0,5.0,2.0,2.0,0.0,1.0,0.0,0.0,5.0,3.0,25350.0,1.0,B482450022002038,1.0,2.0,3.0,2.0,2.0,2.0,ST00nsi-481994168-86272VXC+5RF-3-3-2-3,1.0,1.0,ST00nsi-481994168-86272VXC+5RF-3-3-2-3AP000001,nsi-481994168-86272VXC+5RF-3-3-2-3,2.0,2.0,Beaumont,-94.127968,30.047948,RES1-1SNB,POINT (-94.127968 30.047948),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.24832505,"2 Black alone, Not Hispanic"
B482450022002038H007,482450022002038,482450022002038,482450022002,48245002200,48245.0,5.0,2.0,2.0,0.0,1.0,0.0,0.0,11.0,3.0,71169.0,0.0,B482450022002038,1.0,2.0,3.0,2.0,2.0,2.0,ST00nsi-481994168-86272VXC+5RF-3-3-2-3,1.0,1.0,ST00nsi-481994168-86272VXC+5RF-3-3-2-3AP000000,nsi-481994168-86272VXC+5RF-3-3-2-3,2.0,1.0,Beaumont,-94.127968,30.047948,RES1-1SNB,POINT (-94.127968 30.047948),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.24832505,"2 Black alone, Not Hispanic"
B482450022002038H012,482450022002038,482450022002038,482450022002,48245002200,48245.0,2.0,1.0,7.0,0.0,1.0,0.0,0.0,7.0,3.0,39096.0,0.0,B482450022002038,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-481994170-86272VXF+454-3-3-3-2,1.0,1.0,ST00nsi-481994170-86272VXF+454-3-3-3-2AP000000,nsi-481994170-86272VXF+454-3-3-3-2,2.0,1.0,Beaumont,-94.127034,30.047763,RES1-1SNB,POINT (-94.127034 30.047763),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.24832505,"5 Other Race, Not Hispanic"
,999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,nsi-481994172-86272VWF+W3W-3-3-4-3,,,,,,COM3,POINT (-94.127301 30.04735),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.24832505,
,999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,nsi-481994174-86272VWF+W7J-4-4-4-4,,,,,,COM3,POINT (-94.126868 30.047333),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.24832505,
,999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,nsi-481994176-86272VXC+HJC-1-5-1-5,,,,,,COM3,POINT (-94.128485 30.048943),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.24768873,
,999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,nsi-481994178-86272VXC+9MR-14-2-12-1,,,,,,COM3,POINT (-94.128344 30.048491),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.24768873,
B482450022002038H010,482450022002038,482450022002038,482450022002,48245002200,48245.0,3.0,2.0,6.0,0.0,0.0,0.0,0.0,3.0,2.0,18243.0,1.0,B482450022002038,1.0,2.0,3.0,2.0,2.0,2.0,ST00nsi-481994180-86272VXF+87V-1-2-2-3,1.0,1.0,ST00nsi-481994180-86272VXF+87V-1-2-2-3AP000000,nsi-481994180-86272VXF+87V-1-2-2-3,2.0,1.0,Beaumont,-94.126835,30.048355,RES1-1SNB,POINT (-94.126835 30.048355),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.24768873,"5 Other Race, Not Hispanic"
B482450022002038H004,482450022002038,482450022002038,482450022002,48245002200,48245.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,11.0,3.0,63869.0,0.0,B482450022002038,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-481994182-86272VXC+7RP-2-1-2-2,1.0,1.0,ST00nsi-481994182-86272VXC+7RP-2-1-2-2AP000000,nsi-481994182-86272VXC+7RP-2-1-2-2,2.0,1.0,Beaumont,-94.127936,30.048215,RES1-1SNB,POINT (-94.127936 30.048215),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.24832505,"2 Black alone, Not Hispanic"
,999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,nsi-481994184-86272VXC+6H8-8-8-6-6,,,,,,COM3,POINT (-94.128531 30.04804),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.24832505,
,999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,nsi-481994186-86272VWC+JJQ-5-6-5-5,,,,,,COM8,POINT (-94.128392 30.046592),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.24832505,
B482450022002038H001,482450022002038,482450022002038,482450022002,48245002200,48245.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,10.0,3.0,56432.0,0.0,B482450022002038,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-481994188-86272VXC+9QQ-2-4-4-3,1.0,1.0,ST00nsi-481994188-86272VXC+9QQ-2-4-4-3AP000000,nsi-481994188-86272VXC+9QQ-2-4-4-3,2.0,1.0,Beaumont,-94.128012,30.04845,RES1-1SNB,POINT (-94.128012 30.04845),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.24768873,"1 White alone, Not Hispanic"
B482450022002038H008,482450022002038,482450022002038,482450022002,48245002200,48245.0,6.0,2.0,2.0,0.0,1.0,0.0,0.0,7.0,3.0,39258.0,1.0,B482450022002038,1.0,2.0,3.0,2.0,2.0,2.0,ST00nsi-481994190-86272VXF+F23-2-2-1-2,1.0,1.0,ST00nsi-481994190-86272VXF+F23-2-2-1-2AP000000,nsi-481994190-86272VXF+F23-2-2-1-2,2.0,1.0,Beaumont,-94.127452,30.048649,RES1-1SNB,POINT (-94.127452 30.048649),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.24768873,"2 Black alone, Not Hispanic"
B482450022002038H011,482450022002038,482450022002038,482450022002,48245002200,48245.0,2.0,1.0,7.0,0.0,1.0,0.0,0.0,7.0,3.0,35098.0,0.0,B482450022002038,1.0,2.0,3.0,1.0,1.0,1.0,ST00nsi-481994192-86272VXC+GQ9-2-4-2-3,1.0,1.0,ST00nsi-481994192-86272VXC+GQ9-2-4-2-3AP000000,nsi-481994192-86272VXC+GQ9-2-4-2-3,2.0,1.0,Beaumont,-94.128012,30.048792,RES1-1SNB,POINT (-94.128012 30.048792),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.24768873,"5 Other Race, Not Hispanic"
,999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,nsi-482000756-86273V9J+3MQ-4-3-4-3,,,,,,COM4,POINT (-94.118277 30.067724),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.24820259,
,999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,nsi-482000757-86273V9J+3G3-6-2-7-2,,,,,,COM1,POINT (-94.118695 30.06763),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.220616,
,999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,nsi-482000758-86273V9J+6M5-8-3-8-3,,,,,,COM8,POINT (-94.118275 30.068015),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.24820259,
,999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,nsi-482000760-86273V9J+7QF-6-3-6-3,,,,,,COM3,POINT (-94.118082 30.068187),1.0,2.0,Southeast Beaumont - Hillebrant Bayou/Tenmile Creek-Neches River,0.24820259,
